Rk,GF90,Pts/MP,xGD/90,Age,Poss,npxG,Saves90,Save%,PSxG+/-/90,#OPA/90,Sh/90,SoT/90,PKPer,Cmp90,Cmp%,KP90,FIN1/3/90,SCA90,Att3rd90,AttPen90,Succ%,TklW90,Won%
8,1.421052632,1.42,0.05,25.7,51.5,1.2,2.342105263,67.6,0.03,1.05,12.97,4.29,0.4,365.2105263,75.1,9.289473684,29,21.89,152.6315789,22.31578947,55.9,11.60526316,49.9
19,0.894736842,0.68,-0.72,26,48.8,1.03,3.842105263,66.4,-0.17,1.11,11.87,3.68,0.666666667,397.2631579,78.2,9.210526316,29.10526316,21.47,123.4210526,15.42105263,62.2,9.526315789,50.8
20,0.578947368,0.42,-0.88,26.2,47.2,0.74,2.894736842,62.9,-0.37,0.89,10.53,3.05,1,343.2894737,73.4,7.447368421,26.92105263,18.21,137.8421053,15.55263158,51.9,11.18421053,51.1
9,1.342105263,1.37,0.09,25.9,50.9,1.24,2.368421053,68.8,-0.21,0.66,13.37,4.55,0.714285714,385.2631579,76.8,10.02631579,31.07894737,23.87,151.2631579,20.71052632,59,10.34210526,54.4
2,2.342105263,2.55,1.18,26.1,61.8,1.8,1.947368421,77.1,0.14,1.55,14.95,5.55,1,556.4736842,82.7,11.10526316,40,26.63,195.4473684,29.42105263,57.5,9.921052632,50.3
1,2.5,2.58,1.55,26.7,67.9,2.14,1.526315789,76.5,0.01,1.08,17.87,6.63,0.75,649.4210526,86.9,13.57894737,51.26315789,31.63,254.9736842,38.34210526,59.5,8.605263158,50.8
6,1.710526316,1.74,0.33,26.3,54.7,1.37,3.157894737,71.9,-0.03,0.66,13.53,5.53,0.75,443,80.4,10.02631579,32.07894737,25.29,155.4736842,23.10526316,58,9.131578947,55.5
13,1.105263158,1.18,-0.35,26.9,40.4,0.97,2.447368421,70,-0.12,0.87,11.66,3.58,0.333333333,283.5263158,70.7,8.526315789,20.84210526,20.66,115.6842105,16.63157895,53.2,11.39473684,46.2
16,1.184210526,1.03,-0.22,25.4,43.4,1.14,2.947368421,64,-0.21,0.76,12.61,4.08,0.8,301.6578947,72,8.868421053,28.57894737,21.63,132,18.44736842,56.5,11.26315789,46.8
4,1.763157895,1.87,0.31,26.8,59,1.36,3.105263158,76.9,0.31,1.05,14.03,4.79,1,494.9473684,81.6,10.31578947,33.76315789,24.61,166.4473684,22.84210526,55.1,9.815789474,49.5
11,1.368421053,1.32,-0.18,28.5,46.7,1.25,3.236842105,69.4,-0.01,1.89,11.47,3.89,1,330.2631579,73.9,8.157894737,24.84210526,19.21,137.6052632,21.86842105,53.8,10.28947368,48.6
10,1.368421053,1.37,-0.36,27.6,48.6,1.15,3.763157895,74.2,0.23,0.42,11.47,3.92,1,364.3947368,76.8,8.552631579,26.44736842,20.55,138.9473684,20.44736842,58.2,10.34210526,50.6
7,1.236842105,1.5,0.24,26.1,46.8,1.29,2.605263158,69.5,-0.07,0.47,12.45,3.79,1,367.3947368,76.5,9.157894737,27.71052632,21.92,131.6578947,18.44736842,55.5,10.73684211,50.5
8,1.473684211,1.47,-0.19,25.8,53.8,1.17,3.789473684,78.8,0.1,1.11,10.61,3.84,1,437.7368421,81.5,7.842105263,30.63157895,18.53,146.4473684,21.13157895,59,8.842105263,46
17,1.078947368,0.92,-0.68,25.7,44.1,1.1,3.026315789,65.9,-0.38,0.74,11.92,3.87,0.333333333,306.6315789,74.3,9.710526316,23.89473684,22.24,129.3684211,18.18421053,61.9,7.657894737,48.7
18,1.052631579,0.89,-0.39,25.2,44.1,1.1,3.315789474,68.8,-0.06,0.68,10.13,3.08,1,316.8947368,73.5,7.368421053,24.23684211,17.66,127.5789474,18.65789474,54,7.868421053,48.7
15,1.026315789,1.08,-0.35,26.4,52.2,1.15,3.052631579,69,-0.05,0.68,12.11,3.66,0.5,417.9210526,79.2,9.026315789,29.57894737,21.26,147.8947368,19.97368421,57.4,9.973684211,54.5
10,1.131578947,1.42,-0.11,28,41.9,1.19,3.078947368,72.5,-0.09,1.26,10.11,3.26,1,264.4473684,68.4,7.368421053,20.71052632,17.68,115.0789474,16.15789474,54.2,9.052631579,50.5
4,1.815789474,1.74,0.76,25.5,60.4,1.7,1.684210526,54.8,-0.36,1,16.26,5.53,1,551.5263158,83.1,12.07894737,38.5,29.55,193.7368421,27.86842105,64.1,9.526315789,50.1
14,0.815789474,1.13,-0.45,29.4,44.8,0.88,3.263157895,70.9,0.2,0.71,9.82,3.03,1,323,74.9,6.973684211,23.94736842,16.71,126.7631579,20.76315789,61.9,10.26315789,49.8
12,1.157894737,1.29,0.02,25.5,49,1.32,2.473684211,63.9,-0.07,0.66,12.32,4.18,1,353.5,75.7,8.947368421,25.97368421,21.11,137.5789474,21.86842105,61.4,10.73684211,50.7
5,1.763157895,1.63,0.45,26.1,57.1,1.49,2.473684211,75.6,0.14,0.89,14.03,4.82,0.714285714,463.1578947,80.7,10.65789474,33.76315789,25.24,167.1842105,24.18421053,54.8,11.36842105,49.4
1,2.236842105,2.61,0.82,26.6,62.9,1.71,1.973684211,70.1,-0.13,2.03,15.42,5.89,1,559.8947368,82.2,11.94736842,42.89473684,27.29,205.5526316,31.07894737,58.8,8.552631579,52.7
2,2.684210526,2.13,1.54,26.9,66.2,2.2,2,70.9,0,1.69,19.34,6.58,0.545454545,646.2368421,87.1,15.31578947,47.86842105,35.55,253.2105263,38.44736842,67.5,7.921052632,50.8
3,1.736842105,1.74,0.58,24.8,55.8,1.35,2.526315789,74.8,-0.01,0.58,13.95,5.29,0.714285714,466.9473684,81.7,10.57894737,35.52631579,25.95,182.0789474,23,59.7,8.763157895,52.1
13,1,1.16,-0.66,26.5,39,0.91,3.657894737,71.3,0.18,0.68,10.47,3.47,0,279.1052632,72.8,7.868421053,18.02631579,18.74,100.6578947,14.15789474,59.3,9.394736842,48.4
20,0.684210526,0.55,-0.63,26,49.3,0.93,3.552631579,66.2,-0.14,0.68,10.71,3.32,1,393.8157895,79.3,8,24.02631579,19.08,122.2105263,17.31578947,60.5,9.973684211,43.5
9,1.026315789,1.42,-0.17,26.9,43.1,1.11,2.605263158,72.7,0.12,0.61,9.26,2.87,1,319.0789474,71.9,7.078947368,27.71052632,16.63,157.7894737,19.10526316,64.7,9.921052632,51.6
11,1.342105263,1.37,0.03,25.9,48.9,1.37,2.842105263,66.1,-0.11,1.03,13,4.5,0.4,328.6315789,71.5,8.947368421,26.81578947,21.95,143.2631579,21.26315789,62.2,10.94736842,48
6,1.605263158,1.55,-0.16,26.7,52,1.18,3.526315789,76.8,0.21,0.63,11.58,4.05,0.75,423.7105263,79.3,8.921052632,28.34210526,20.58,144.1315789,18.39473684,60.1,10.92105263,48.9
19,0.947368421,0.89,-0.32,28.9,42.9,1.12,3.052631579,68.5,0.04,1.45,10.95,2.95,0.875,295.5263158,71.2,7.973684211,22.31578947,19.03,134.2105263,21.15789474,55.7,9.710526316,50.6
16,1.289473684,1.03,-0.39,27.4,44.1,1.2,3.342105263,69.5,0.04,0.58,10.87,4.11,1,327.6578947,73.8,8.631578947,28.5,19.53,136.8157895,19.39473684,59.9,10.97368421,51.6
7,1.342105263,1.55,0.32,26.6,48.3,1.34,2.315789474,69.8,-0.09,0.29,12.03,3.74,1,376.2631579,77.4,8.921052632,26.71052632,21.24,133.1315789,20.31578947,62.3,9.657894737,52.2
8,1.447368421,1.61,0.26,25.9,53.5,1.24,2.447368421,71.3,0.03,0.97,11.92,3.68,1,474.7631579,82.7,8.736842105,36.23684211,21.5,162.4473684,23.86842105,55.3,6.631578947,45.9
11,1.447368421,1.45,0.01,25.2,48.5,1.26,3.5,78,0.11,0.89,13.53,4.68,0.833333333,340.4736842,76.1,10.60526316,28.57894737,24.61,149.7631579,24.73684211,62,7.421052632,52.3
16,1.052631579,1.08,0.37,25.8,51.1,1.15,2.131578947,68,-0.21,0.87,12.58,3.53,0.666666667,415.0526316,79.4,9.421052632,29.78947368,22.18,150.7368421,23.05263158,61.1,8.789473684,48.1
17,0.868421053,1.03,-0.47,28.3,42.1,0.97,3.289473684,70.9,-0.13,2.05,10.03,3.26,1,284.8684211,69.6,7.026315789,24.28947368,17.66,122.0789474,18.13157895,58.1,7.710526316,50.6
4,1.526315789,1.76,0.82,26,60.9,1.44,1.868421053,69.2,-0.1,0.82,14.37,5.08,0.8,578.1315789,85.2,11.78947368,37.92105263,26.89,189.2368421,26.36842105,54.6,8.973684211,52.5
14,1.078947368,1.16,-0.66,29.1,40.6,0.82,2.815789474,63.8,-0.39,0.68,9.08,3.34,0.75,305.9736842,74.5,6.947368421,22.05263158,16.34,114.5789474,17,56.6,9.631578947,51
10,1.236842105,1.55,-0.13,26.3,46.4,1.1,3,72,0.02,0.92,10.39,3.76,0.8,389.2631579,79.1,7.894736842,24.84210526,18.89,118.8947368,16.68421053,61.3,10.02631579,57.8
18,0.710526316,0.74,-0.31,25.2,49.7,0.95,3.105263158,72.9,0.07,0.87,11.47,3.29,0.5,405.2894737,78.9,8.789473684,26.81578947,20.68,144.5789474,18.89473684,63.6,8.657894737,50.9
9,1.631578947,1.55,-0.17,26.1,57.3,1.38,3.815789474,76.8,-0.06,0.53,13.63,5.08,1,428.5263158,78.9,10.36842105,29.21052632,24.47,147.8157895,23,56.5,10.97368421,47.1
5,1.789473684,1.74,0.23,26.5,54.3,1.22,2.315789474,66.2,-0.15,0.5,12.45,4.47,0.833333333,447.7368421,80.2,9.473684211,31.81578947,22.66,147.3947368,20.15789474,55.5,10.60526316,50.4
3,1.789473684,1.82,0.72,26.8,62.1,1.66,2.552631579,72.9,0.05,2.5,15.84,5.37,1,577.0789474,83.6,11.97368421,42.31578947,27.66,214.1052632,31.26315789,58.5,7.973684211,48.4
1,2.184210526,2.26,1.1,26.1,63.5,1.61,1.763157895,76,0.03,1.16,15.53,5.55,0.555555556,626.8157895,87.7,11.39473684,46.63157895,27.71,221.2894737,31.31578947,61.9,7.131578947,53.5
2,1.921052632,1.95,0.49,25.6,55.7,1.35,2.578947368,71.6,-0.07,1.24,13.55,5.16,0.909090909,494.7894737,83.1,10.89473684,37.34210526,24.97,190.2105263,23.94736842,58.4,8.184210526,56.9
12,1.210526316,1.18,-0.34,27.1,38.8,1,3.368421053,69.1,-0.14,0.55,10.26,3.42,0.857142857,285.2368421,73.7,7.605263158,19.44736842,18.39,102.2368421,14.5,59.6,7.052631579,49.2
20,0.526315789,0.61,-0.81,26.7,41.7,0.78,3.815789474,70.9,-0.15,0.89,8.39,2.42,0.75,319.6315789,74.7,6.657894737,24.89473684,15,144.1842105,16.13157895,56.6,9.368421053,47.4
15,1.236842105,1.13,-0.31,26.6,52,0.96,2.894736842,66.3,-0.28,1.18,11,4.13,0.833333333,392.8421053,77.4,7.736842105,23.52631579,19.18,123.9473684,18.21052632,57.1,11.02631579,42.5
